group,casino,url
"CCC","wien-lugner","https://wien-lugnercity.ccc.co.at/"
"CCC","wien-montesino","https://www.montesino.at/"
"CCC","insbruck","https://innsbruck.ccc.co.at/"
"CCC","bregenz","https://bregenz.ccc.co.at/"
"CCC","salzburg","https://salzburg.ccc.co.at/"
"CCC","wien-simmering","https://wien-simmering.ccc.co.at/en/"
"CCC","klagenfurt","https://klagenfurt.ccc.co.at/"
"CCC","kufstein","https://kufstein.ccc.co.at/"
"CCC","gmunden","https://gmunden.ccc.co.at/"
"CCC","LINZ","https://linz.ccc.co.at/"
"CCC","REUTTE","https://reutte.ccc.co.at/"
